YEAR	DEATHS	TAVG	SUMEVENTS
1950	70	19.94	223	
1951	34	20.06	269	
1952	231	19.65	272	
1953	519	20.04	492	
1954	36	20.88	609	
1955	129	21.36	1413	
1956	83	22.55	1703	
1957	193	21.06	2184	
1958	67	21.6	2213	
1959	58	21.52	1813	
1960	46	21.54	1944	
1961	52	20.99	2246	
1962	30	21.98	2389	
1963	31	21.79	1968	
1964	73	21.47	2348	
1965	301	20.47	2835	
1966	98	21.92	2388	
1967	114	20.26	2688	
1968	131	21.71	3312	
1969	66	22.36	2926	
1970	73	21.91	3215	
1971	159	20.86	3471	
1972	27	21.45	2168	
1973	89	21.15	4453	
1974	366	20.84	5375	
1975	60	20.53	4975	
1976	44	20.57	3768	
1977	43	21.91	3728	
1978	53	22.22	3657	
1979	84	21.39	4279	
1980	28	22.83	6134	
1981	24	21.84	4517	
1982	64	21.19	7126	
1983	37	21.82	8322	
1984	160	20.32	7333	
1985	112	22.05	7979	
1986	51	22.35	8725	
1987	89	22.76	7363	
1988	55	22.06	7255	
1989	79	21.26	10407	
1990	95	22.09	10945	
1991	73	21.57	12516	
1992	54	21.72	13522	
1993	42	19.86	8571	
1994	63	22.09	15491	
1995	68	21.45	20214	
1996	421	13.72	42605	
1997	454	15.17	37078	
1998	606	18.31	45188	
1999	727	17.09	40355	
2000	383	15.59	46008	
2001	379	17.46	43144	
2002	379	17.69	44817	
2003	355	17.15	45069	
2004	275	17.03	44767	
2005	1150	17.48	46984	
2006	450	18.72	48689	
2007	529	16.23	51947	
2008	644	16.29	62619	
2009	401	16.23	50248	
2010	530	16.77	55209	
2011	1198	18.41	70395	
2012	473	19.73	55660	
2013	359	15.97	51493	
2014	394	14.86	50527	
2015	504	16.42	49852	
2016	417	18.26	47851	
2017	447	17.8	48041	
